'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
0,0,0,0,641,0,0,0,10073,181200,107048.96,55.48,590.23
0,0,0,0,685,0,0,0,10465,181200,114391.04,57.7,630.75
0,0,0,0,601,0,0,0,10269,181200,100362.24,56.6,553.58
0,0,0,0,542,0,0,0,10038,181200,90511.36,55.34,499.77
0,0,0,0,707,0,0,0,11155,181200,118067.2,61.46,651.02
0,0,0,0,578,0,0,0,9803,181200,96522.24,54.02,532.36
0,0,0,0,764,0,0,0,11179,181200,127590.4,61.48,703.38
0,0,0,0,724,0,0,0,11135,181200,120903.68,61.39,666.34
0,0,0,0,598,0,0,0,9690,181200,99870.72,53.4,550.61
0,0,0,0,632,0,0,0,10150,181200,105543.68,55.97,582.22
,,,,,,,,,,,,
,,,,,,,,,,,56.285,586.225
